"","X","Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","rent_max","rent_min"
"3649",3649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/2809-7th-ave-los-angeles-ca-90018--2077226546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3650",3650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/1050-w-57th-st-los-angeles-ca-90037--2115581886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3651",3651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/address-not-disclosed-los-angeles-ca-90045--1059897501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3652",3652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/3010-james-m-wood-blvd-bottom-floor-los-angeles-ca-90006--2077193564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3653",3653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/618-n-boyle-ave-los-angeles-ca-90033--2115567072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3654",3654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/4824-s-figueroa-st-los-angeles-ca-90037--1041875719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3655",3655,"3210 Andrita Street","Los Angeles","CA","90065","$1,650 - $2,195",NA,"28","Apartment",NA,"(323) 533-2716","1","1",1,"1",13,NA,120,NA,17,NA,1,2,1,6,1,6,34.117978,-118.243614,9,28909,3.14,"11.9","40.3",1.93,56,2.8,2400,0.61,1.1,1.2,0.73,"2.5",61,76,46,20,26,5,13,"https://www.trulia.com/c/ca/los-angeles/3210-andrita-st-los-angeles-ca-90065--2077448287",6,37,186401,1003,60371864011003,"Block 1003","G5040","U",51445,"U","S",30975,0,34.1178682,-118.2426551,2195,1650
"3656",3656,"3421 Arlington Avenue","Los Angeles","CA","90018","$1,870",1926,"23","Single-Family Home","900","(323) 799-6783","2","2",1,"1",54,NA,170,NA,52,NA,0,0,0,0,0,0,34.024878,-118.317695,9,52246,3.14,"12.5","38.4",1.52,54,3,2500,0.7,0.089,0.34,0.13,"5.1",77,96,58,17,34,7,11,"https://www.trulia.com/c/ca/los-angeles/3421-arlington-ave-los-angeles-ca-90018--2077227686",6,37,219020,2000,60372190202000,"Block 2000","G5040","U",51445,"U","S",33868,0,34.0242061,-118.3182577,NA,1870
"3657",3657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.094933,-118.349585,9,51106,3.14,"12.1","40.4",1.96,64,3.5,2700,0.48,0.11,0.63,0.11,"0.0022",34,31,36,14,7,2,13,"https://www.trulia.com/c/ca/los-angeles/1317-n-fuller-ave-los-angeles-ca-90046--2115625366",6,37,189902,1001,60371899021001,"Block 1001","G5040","U",51445,"U","S",40654,0,34.0961884,-118.3500959,NA,NA
"3658",3658,"317 West 76th Street #1","Los Angeles","CA","90003","$1,495",NA,"25","Multi-Family",NA,"(323) 306-4648","2","2",1,"1",206,3,543,NA,NA,NA,0,0,0,0,0,0,33.970825,-118.279004,9,66919,3.14,"12.7","37.3",2.02,55,3.7,5600,0.64,0.11,0.66,0.25,"0.011",86,99,73,21,49,10,6,"https://www.trulia.com/c/ca/los-angeles/317-w-76th-st-1-los-angeles-ca-90003--2346919133",6,37,239601,2007,60372396012007,"Block 2007","G5040","U",51445,"U","S",19887,0,33.9712863,-118.2792976,NA,1495
"3659",3659,"3839 Stevely Avenue #14","Los Angeles","CA","90008","$1,125",NA,"25","Multi-Family","450","(818) 884-5155",NA,NA,1,"1",74,NA,339,NA,NA,NA,0,0,0,0,1,2,34.017021,-118.353666,9,36330,3.14,"12.4","38.7",1.41,55,3.6,1200,0.67,0.073,0.42,0.14,"35",74,96,51,12,23,7,13,"https://www.trulia.com/c/ca/los-angeles/3839-stevely-ave-14-los-angeles-ca-90008--2344670999",6,37,236202,1002,60372362021002,"Block 1002","G5040","U",51445,"U","S",28043,0,34.016096,-118.3541674,NA,1125
"3660",3660,"2219 6th Avenue","Los Angeles","CA","90018","$1,700",NA,"30","Multi-Family","400","(310) 734-9079",NA,NA,1,"1",201,NA,1163,NA,254,NA,0,0,0,0,1,4,34.036443,-118.323695,9,59494,3.14,"12.4","38.7",1.73,58,3.1,3200,0.69,0.096,0.2,0.12,"17",78,95,61,20,33,6,10,"https://www.trulia.com/c/ca/los-angeles/2219-6th-ave-los-angeles-ca-90018--2077225627",6,37,218800,2004,60372188002004,"Block 2004","G5040","U",51445,"U","S",21256,0,34.0371044,-118.324231,NA,1700
"3661",3661,"6069 Saturn Street #5","Los Angeles","CA","90035","$2,350",NA,"31","Multi-Family",NA,"(323) 302-9295","2","2",2,"2",201,NA,1163,NA,254,NA,1,4,1,2,1,6,34.051045,-118.373365,9,44137,3.14,"12.2","39.6",1.56,61,3.5,2500,0.65,0.077,0.15,0.097,"96",40,49,31,9,11,6,14,"https://www.trulia.com/c/ca/los-angeles/6069-saturn-st-5-los-angeles-ca-90035--2346665476",6,37,216700,2004,60372167002004,"Block 2004","G5040","U",51445,"U","S",14408,0,34.0514277,-118.3733128,NA,2350
"3662",3662,"6823 Miramonte Boulevard","Los Angeles","CA","90001","$2,300",NA,"29","Single-Family Home",NA,"(562) 688-3152","3","3",2,"2",102,NA,408,NA,NA,NA,0,0,1,3,0,0,33.977778,-118.245368,9,51986,3.14,"12.8","37",1.83,58,3.6,1400,0.64,0.15,4.4,1.3,"0.014",85,99,70,28,61,9,7,"https://www.trulia.com/c/ca/los-angeles/6823-miramonte-blvd-los-angeles-ca-90001--2077177731",6,37,533001,3008,60375330013008,"Block 3008","G5040","U",51445,"U","S",10322,0,33.9772002,-118.2455827,NA,2300
"3663",3663,"1118 Cardiff Avenue #1","Los Angeles","CA","90035","$5,900",NA,"38","Multi-Family","2,100","(310) 387-4871","3","3",2,"2",NA,NA,24,NA,13,NA,1,9,1,7,1,6,34.056513,-118.3918,9,43042,3.14,"12.2","39.9",1.48,62,3.5,2500,0.59,0.072,0.14,0.09,"24",23,25,22,10,6,5,16,"https://www.trulia.com/c/ca/los-angeles/1118-cardiff-ave-1-los-angeles-ca-90035--2346409789",6,37,269100,4000,60372691004000,"Block 4000","G5040","U",51445,"U","S",19369,0,34.0561712,-118.3923139,NA,5900
"3664",3664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.021765,-118.374766,9,20635,3.14,"12.3","39.1",1.77,61,3.7,4700,0.68,0.069,0.25,0.13,"190",58,80,37,8,21,5,14,"https://www.trulia.com/c/ca/los-angeles/3601-1-2-kalsman-dr-2-los-angeles-ca-90016--2189600860",6,37,236000,4003,60372360004003,"Block 4003","G5040","U",51445,"U","S",25944,0,34.0205975,-118.3752803,NA,NA
"3665",3665,"1051 South Orange Grove Avenue","Los Angeles","CA","90019","$3,500",NA,"29","Multi-Family","1,200","(213) 545-1039","2","2",1,"1",201,NA,1163,NA,254,NA,1,4,1,5,1,6,34.056605,-118.363431,9,46727,3.14,"12.2","39.6",1.51,64,3.6,2500,0.68,0.085,0.15,0.094,"86",38,50,26,9,7,6,12,"https://www.trulia.com/c/ca/los-angeles/1051-s-orange-grove-ave-los-angeles-ca-90019--2347205019",6,37,216900,3000,60372169003000,"Block 3000","G5040","U",51445,"U","S",29592,0,34.056841,-118.3638476,NA,3500
"3666",3666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.025657,-118.405006,9,50715,3.14,"12","39.5",2.35,63,4,5100,0.33,0.059,0.19,0.13,"65",42,54,30,6,7,6,10,"https://www.trulia.com/c/ca/los-angeles/3615-jasmine-ave-2-los-angeles-ca-90034--2346540558",6,37,269906,1004,60372699061004,"Block 1004","G5040","U",51445,"U","S",33349,0,34.0246661,-118.4049067,NA,NA
"3667",3667,"3316 West 76th Street","Los Angeles","CA","90043","$2,450",NA,"48","Multi-Family","862","(323) 841-9745","2","2",1,"1",77,NA,179,NA,NA,NA,1,3,0,0,1,3,33.970859,-118.33026,9,31873,3.14,"12.4","37.8",1.37,55,4.7,1100,0.65,0.073,1.1,0.22,"0",73,98,47,7,23,7,14,"https://www.trulia.com/c/ca/los-angeles/3316-w-76th-st-los-angeles-ca-90043--2115600262",6,37,235202,3001,60372352023001,"Block 3001","G5040","U",51445,"U","S",20382,0,33.97044,-118.3297495,NA,2450
"3668",3668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.008073,-118.427395,9,43438,3.14,"11.9","39.5",2.06,60,4.3,5700,0.44,0.051,0.19,0.14,"34",46,57,35,10,15,6,12,"https://www.trulia.com/c/ca/los-angeles/3745-s-barrington-ave-19-los-angeles-ca-90066--2348619666",6,37,271902,3007,60372719023007,"Block 3007","G5040","U",51445,"U","S",61859,0,34.0078321,-118.4286801,NA,NA
"3669",3669,"8638 Gregory Way #2","Los Angeles","CA","90035","$4,200",NA,"38","Multi-Family",NA,"(310) 387-4871","3","3",2,"2",4,NA,52,NA,30,NA,1,4,1,5,1,6,34.06291,-118.379643,9,48122,3.14,"12.2","39.9",1.5,65,3.7,3000,0.58,0.077,0.14,0.087,"23",26,28,24,9,5,5,15,"https://www.trulia.com/c/ca/los-angeles/8638-gregory-way-2-los-angeles-ca-90035--2173363774",6,37,216402,1002,60372164021002,"Block 1002","G5040","U",51445,"U","S",20394,0,34.0619416,-118.3797878,NA,4200
"3670",3670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.032667,-118.319202,9,59817,3.14,"12.5","38.6",1.75,57,3.1,3500,0.67,0.095,0.24,0.12,"9.2",78,95,61,20,34,7,10,"https://www.trulia.com/c/ca/los-angeles/3207-w-adams-blvd-los-angeles-ca-90018--2115512187",6,37,218900,1006,60372189001006,"Block 1006","G5040","U",51445,"U","S",21063,0,34.0335011,-118.3194552,NA,NA
"3671",3671,"7620 South Western Avenue #8","Los Angeles","CA","90047","$2,454",NA,"35","Multi-Family",NA,"(213) 944-9000","3","3",1,"1",133,NA,330,NA,NA,NA,0,0,0,0,0,0,33.970248,-118.308967,9,37397,3.14,"12.5","37.6",1.37,52,3.8,1100,0.81,0.083,1.1,0.17,"0.00012",72,98,46,5,23,6,14,"https://www.trulia.com/c/ca/los-angeles/7620-s-western-ave-8-los-angeles-ca-90047--2346547042",6,37,237900,2003,60372379002003,"Block 2003","G5040","U",51445,"U","S",21204,0,33.9699889,-118.3084272,NA,2454
"3672",3672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.939948,-118.300371,9,43793,3.14,"12.5","37.3",1.95,55,4.5,2000,0.7,0.099,0.4,0.15,"0.052",79,99,60,11,31,8,10,"https://www.trulia.com/c/ca/los-angeles/1330-w-106th-st-los-angeles-ca-90044--1003031043",6,37,600302,1000,60376003021000,"Block 1000","G5040","U",51445,"U","S",41470,0,33.9395789,-118.3024761,NA,NA
"3673",3673,"725 South Barrington Avenue #104","Los Angeles","CA","90049","$3,000",NA,"52","Multi-Family","1,064","(310) 614-1250","1","1",1,"1",8,1,102,NA,NA,NA,1,5,1,8,1,6,34.055405,-118.467394,9,31690,3.14,"11.6","40.6",1.54,59,3.2,2300,0.24,0.054,1.4,0.075,"0",25,29,21,5,4,4,15,"https://www.trulia.com/c/ca/los-angeles/725-s-barrington-ave-104-los-angeles-ca-90049--2115652193",6,37,264103,1011,60372641031011,"Block 1011","G5040","U",51445,"U","S",46187,0,34.0546094,-118.4686751,NA,3000
"3674",3674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.090116,-118.166677,9,33599,3.14,"12","39.3",1.45,53,2.5,900,0.63,0.25,0.76,0.13,"0.00044",70,90,49,17,31,7,12,"https://www.trulia.com/c/ca/los-angeles/5243-huntington-dr-n-4-los-angeles-ca-90032--2345587975",6,37,201120,1008,60372011201008,"Block 1008","G5040","U",51445,"U","S",30945,0,34.0903741,-118.1680346,NA,NA
"3675",3675,"2347 Kerwood Avenue #201","Los Angeles","CA","90064","$3,195",NA,"35","Multi-Family",NA,"(818) 990-5328","2","2",2,"2",3,NA,66,NA,6,NA,1,8,2,3,1,6,34.048275,-118.416194,9,25809,3.14,"12","40",1.67,61,3.5,2000,0.47,0.061,0.23,0.092,"2.7",22,27,17,7,4,6,19,"https://www.trulia.com/c/ca/los-angeles/2347-kerwood-ave-201-los-angeles-ca-90064--2346520358",6,37,267902,2009,60372679022009,"Block 2009","G5040","U",51445,"U","S",19537,0,34.0479484,-118.4171512,NA,3195
"3676",3676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.99116,-118.424989,9,42448,3.14,"11.8","39.4",1.79,58,4.6,2700,0.37,0.051,0.19,0.17,"130",50,63,37,10,17,5,13,"https://www.trulia.com/c/ca/los-angeles/12478-gilmore-ave-los-angeles-ca-90066--2077460488",6,37,275311,2001,60372753112001,"Block 2001","G5040","U",51445,"U","S",27985,0,33.9913124,-118.4237849,NA,NA
"3677",3677,"5180 1/2 Village Grn","Los Angeles","CA","90016","$2,450",NA,"30","Multi-Family","998","(213) 239-4038","2","2",1,"1",13,NA,26,NA,10,NA,1,5,0,0,1,2,34.018553,-118.35821,9,36914,3.14,"12.3","38.8",1.45,55,3.6,1700,0.67,0.073,0.36,0.14,"53",75,95,54,11,26,7,12,"https://www.trulia.com/c/ca/los-angeles/5180-1-2-village-grn-los-angeles-ca-90016--2189599130",6,37,236000,1001,60372360001001,"Block 1001","G5040","U",51445,"U","S",305297,0,34.0198835,-118.3614136,NA,2450
"3678",3678,"1118 Cardiff Avenue #3","Los Angeles","CA","90035","$3,200",NA,"38","Multi-Family","1,200","(310) 387-4871","2","2",1,"1",NA,NA,24,NA,13,NA,1,9,1,7,1,6,34.056513,-118.3918,9,43042,3.14,"12.2","39.9",1.48,62,3.5,2500,0.59,0.072,0.14,0.09,"24",23,25,22,10,6,5,16,"https://www.trulia.com/c/ca/los-angeles/1118-cardiff-ave-3-los-angeles-ca-90035--2346409739",6,37,269100,4000,60372691004000,"Block 4000","G5040","U",51445,"U","S",19369,0,34.0561712,-118.3923139,NA,3200
"3679",3679,"3428 West Florence Avenue","Los Angeles","CA","90043","$1,750",NA,"64","Single-Family Home",NA,"Phone not provided","2","2",1,"1",77,NA,179,NA,NA,NA,1,3,0,0,1,3,33.974454,-118.331839,9,34335,3.14,"12.4","37.9",1.31,55,4.5,1000,0.67,0.071,1.2,0.22,"0",74,98,49,7,26,6,12,"https://www.trulia.com/c/ca/los-angeles/3428-w-florence-ave-los-angeles-ca-90043--2115600468",6,37,235202,2003,60372352022003,"Block 2003","G5040","U",51445,"U","S",19729,0,33.9740698,-118.331968,NA,1750
"3680",3680,"7402 South San Pedro Street #1","Los Angeles","CA","90003","$1,025",NA,"31","Multi-Family",NA,"(310) 530-0525","1","1",1,"1",206,3,543,NA,NA,NA,1,4,0,0,0,0,33.972777,-118.269541,9,64728,3.14,"12.7","37.2",1.88,55,3.6,5100,0.66,0.11,0.96,0.34,"0.0093",87,99,75,23,53,10,5,"https://www.trulia.com/c/ca/los-angeles/7402-s-san-pedro-st-1-los-angeles-ca-90003--2173073998",6,37,239601,1002,60372396011002,"Block 1002","G5040","U",51445,"U","S",37855,0,33.972565,-118.2717288,NA,1025
"3681",3681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.975192,-118.304574,9,44345,3.14,"12.6","37.6",1.42,52,3.5,1200,0.78,0.085,1.1,0.17,"0",76,99,53,9,32,7,11,"https://www.trulia.com/c/ca/los-angeles/7116-s-denker-ave-los-angeles-ca-90047--2115640969",6,37,237402,3009,60372374023009,"Block 3009","G5040","U",51445,"U","S",18125,0,33.9749762,-118.3035252,NA,NA
"3682",3682,"11815 Goshen Avenue #UPPER","Los Angeles","CA","90049","$2,150",NA,"76","Multi-Family","950","(213) 840-2219","1","1",1,"1",36,1,550,NA,NA,NA,1,2,1,8,1,6,34.048759,-118.463682,9,48717,3.14,"11.6","40.5",1.67,61,3.4,2300,0.21,0.053,1.4,0.079,"0",33,39,27,7,6,5,12,"https://www.trulia.com/c/ca/los-angeles/11815-goshen-ave-upper-los-angeles-ca-90049--2077414983",6,37,264301,3007,60372643013007,"Block 3007","G5040","U",51445,"U","S",12028,0,34.0485787,-118.4642791,NA,2150
"3683",3683,"8960 Cynthia Street #209","West Hollywood","CA","90069","$5,750",NA,"60","Multi-Family","2,326","(917) 495-3800","3","3",3,"3",21,NA,281,NA,32,NA,1,10,1,3,1,6,34.087287,-118.387004,9,29936,3.14,"12.1","40.5",1.8,66,3.8,3400,0.41,0.085,0.18,0.082,"5.2E-05",25,26,23,7,4,2,16,"https://www.trulia.com/c/ca/los-angeles/8960-cynthia-st-209-los-angeles-ca-90069--2077486365",6,37,700501,3001,60377005013001,"Block 3001","G5040","U",51445,"U","S",6446,0,34.0869911,-118.387183,NA,5750
"3684",3684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/2001-n-beachwood-dr-3-los-angeles-ca-90068--2172812122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3685",3685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/3659-overland-boulevard-3659-overland-ave-los-angeles-ca-90034--1045269090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3686",3686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/7259-willoughby-ave-18-los-angeles-ca-90046--2172706109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3687",3687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/2518-michigan-ave-los-angeles-ca-90033--2077324246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3688",3688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/address-not-disclosed-los-angeles-ca-90028--1002071251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3689",3689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/580-n-lucerne-blvd-los-angeles-ca-90004--2115451687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3690",3690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/8318-s-san-pedro-st-los-angeles-ca-90003--1059707191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3691",3691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/1717-1725-park-avenue-1717-park-ave-1725-los-angeles-ca-90026--2344669963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3692",3692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/1256-granville-avenue-1256-granville-ave-los-angeles-ca-90025--1002427444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3693",3693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/900-w-olympic-blvd-42g-los-angeles-ca-90015--2115498378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3694",3694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/811-glendale-blvd-811-los-angeles-ca-90026--2197046888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3695",3695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/1651-w-11th-pl-los-angeles-ca-90015--2115495785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3696",3696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.21844,-83.05801,4,80,3.14,"9.02","37.9",0.259,33,1,0.79,0.24,0.024,0.078,0.025,"1.4E-06",25,0,50,0,26,10,15,"https://www.trulia.com/c/ca/los-angeles/1268-w-37th-pl-los-angeles-ca-90007--2115463377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
