"Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Driving","Transit","Walking","Cycling","Restaurant","Groceries","Nightlife","Cafe","Shopping","Entertainment","Beauty","Active_life","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","rent_max","rent_min","Sqft_max","Sqft_min","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
"361 East Imperial Highway","Los Angeles","CA","90061","$1,600",NA,"7","Multi-Family","650","(626) 589-4573","2","2",1,1,69,NA,236,NA,NA,NA,0,0,0,0,0,0,86,14,0,0,56,8,5,5,29,8,16,8,33.931117,-118.267505,9,44514,3.14,12.5,37,2.48,54,3.8,5500,0.62,0.12,0.37,0.21,0.41,84,99,68,15,44,10,7,"https://www.trulia.com/c/ca/los-angeles/2-bed-1-600-361-e-imperial-hwy-los-angeles-ca-90061--2115668660",NA,1600,NA,650,6,37,240900,3004,60372409003004,"Block 3004","G5040","U",51445,"U","S",18894,0,33.9314206,-118.2662761
"7371 Fountain Avenue","Los Angeles","CA","90046","$2,595",NA,"12","Apartment",NA,"(323) 465-7368","2","2",2,2,184,1,997,NA,NA,NA,1,8,1,3,1,6,88,6,0,4,341,27,164,77,821,202,516,231,34.094396,-118.351414,9,51177,3.14,12.1,40.4,1.94,64,3.5,2700,0.48,0.11,0.61,0.11,0.0021,33,30,35,13,6,2,13,"https://www.trulia.com/c/ca/los-angeles/2-bed-2-0-bath-2-595-7371-fountain-ave-los-angeles-ca-90046--1049350453",NA,2595,NA,NA,6,37,189902,1002,60371899021002,"Block 1002","G5040","U",51445,"U","S",40589,0,34.0961931,-118.3511887
"11645 Gorham Avenue","Los Angeles","CA","90049","$2,498 - $3,048",NA,"18","Apartment","750-1,200","(310) 312-1223","1","1",1,1,35,2,572,NA,NA,NA,1,5,1,8,1,6,94,2,0,3,179,13,23,39,227,39,213,168,34.055093,-118.464879,9,36038,3.14,11.6,40.6,1.57,60,3.3,2200,0.23,0.054,1.3,0.075,0,30,33,27,5,4,4,13,"https://www.trulia.com/c/ca/los-angeles/11645-gorham-avenue-11645-gorham-ave-los-angeles-ca-90049--1004155711",3048,2498,1200,750,6,37,264103,1002,60372641031002,"Block 1002","G5040","U",51445,"U","S",44990,0,34.0554615,-118.4653667
"416 South Grand View Street","Los Angeles","CA","90057","$1,295",NA,"9","Apartment","400","(323) 972-0635",NA,NA,1,1,224,NA,889,NA,NA,NA,0,0,0,0,1,5,44,50,0,2,376,50,72,80,374,67,224,75,34.062389,-118.275718,9,122637,3.14,12.5,38.7,2.09,70,3.7,3200,0.48,0.17,1.1,0.19,0.0077,82,94,69,43,43,6,9,"https://www.trulia.com/c/ca/los-angeles/416-s-grand-view-street-416-s-grand-view-st-los-angeles-ca-90057--1002166474",NA,1295,NA,400,6,37,208801,2000,60372088012000,"Block 2000","G5040","U",51445,"U","S",28013,0,34.0617348,-118.2767572
"1828 Parnell Avenue","Los Angeles","CA","90025","$3,795",NA,"10","Apartment","876-1,750","(310) 906-0657","2","2",2,2,35,2,572,NA,NA,NA,1,8,2,3,1,6,86,7,2,2,306,9,43,56,500,67,302,124,34.052132,-118.429431,9,42616,3.14,11.9,40.3,1.72,62,3.6,2700,0.35,0.059,0.31,0.085,0,27,31,22,9,4,4,18,"https://www.trulia.com/c/ca/los-angeles/1836-parnell-avenue-1828-parnell-ave-los-angeles-ca-90025--2077269182",NA,3795,1750,876,6,37,267100,1002,60372671001002,"Block 1002","G5040","U",51445,"U","S",15130,0,34.0521834,-118.4301331
"1266 North Ardmore Avenue","Los Angeles","CA","90029","",NA,"23","Apartment","400-850","(818) 483-4085","0","0",1,1,180,1,983,NA,NA,NA,1,3,0,0,0,0,64,29,0,6,347,56,71,50,455,81,233,60,34.094556,-118.301227,9,86836,3.14,12.3,39.9,2.27,63,3.3,4500,0.51,0.21,0.99,0.21,0.046,63,69,58,33,28,6,11,"https://www.trulia.com/c/ca/los-angeles/1266-n-ardmore-avenue-apartments-1266-n-ardmore-ave-los-angeles-ca-90029--2115558025",NA,NA,850,400,6,37,191120,1000,60371911201000,"Block 1000","G5040","U",51445,"U","S",33037,0,34.0930183,-118.300858
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.05573,-118.300925,9,116826,3.14,12.4,38.9,1.8,69,3.5,1600,0.5,0.14,0.27,0.15,0,78,94,62,43,32,6,9,"https://www.trulia.com/c/ca/los-angeles/901-irolo-street-901-irolo-st-los-angeles-ca-90006--1002152983",NA,NA,NA,NA,6,37,212420,2001,60372124202001,"Block 2001","G5040","U",51445,"U","S",15778,0,34.0551842,-118.3014271
"6424 Yucca Street #306","Los Angeles","CA","90028","$1,395",NA,"23","Multi-Family",NA,"(818) 921-0987",NA,NA,1,1,180,1,983,NA,NA,NA,1,2,1,3,1,7,66,16,0,8,370,24,242,79,427,259,264,122,34.1039,-118.33038,9,48496,3.14,12.1,40.5,2.14,64,3.4,3700,0.45,0.14,1.1,0.14,0.0068,44,44,44,16,12,3,10,"https://www.trulia.com/c/ca/los-angeles/6424-yucca-st-306-los-angeles-ca-90028--2345942667",NA,1395,NA,NA,6,37,190201,1002,60371902011002,"Block 1002","G5040","U",51445,"U","S",35426,0,34.1027531,-118.3302998
"1537 Corinth Avenue","Los Angeles","CA","90025","$1,700",NA,"30","Apartment","450","(818) 331-8031",NA,NA,1,1,35,2,572,NA,NA,NA,1,7,1,5,1,6,86,7,2,2,405,21,47,72,443,91,412,257,34.04686,-118.450254,9,48791,3.14,11.7,40.4,1.82,64,3.7,3600,0.19,0.054,0.99,0.083,0,38,45,31,9,7,4,11,"https://www.trulia.com/c/ca/los-angeles/westside-guesthouse-1537-corinth-ave-los-angeles-ca-90025--1004976914",NA,1700,NA,450,6,37,267300,2000,60372673002000,"Block 2000","G5040","U",51445,"U","S",22330,0,34.0467618,-118.4507995
"2601-11 S ORCHARD1238 West","Los Angeles","CA","90007","",NA,"25","Apartment","300","(213) 765-3330",NA,NA,1,1,72,NA,453,NA,NA,NA,0,0,1,5,0,0,55,18,4,7,233,29,33,39,256,49,63,42,33.981554,-118.321626,9,39329,3.14,12.5,37.8,1.28,54,4,1300,0.71,0.073,1.4,0.18,0,76,98,54,7,28,7,13,"https://www.trulia.com/c/ca/los-angeles/university-housing-adams-2601-11-s-orchard1238-w-los-angeles-ca-90007--2325254566",NA,NA,NA,300,6,37,234800,3002,60372348003002,"Block 3002","G5040","U",51445,"U","S",25847,0,33.9806434,-118.3240207
"843 South Mariposa Avenue","Los Angeles","CA","90005","$995",NA,"21","Apartment",NA,"(323) 243-0237",NA,NA,1,1,166,NA,1133,NA,187,NA,1,4,0,0,1,5,67,26,0,5,771,67,136,152,703,74,531,104,34.056458,-118.298747,9,118502,3.14,12.4,38.9,1.81,69,3.5,1600,0.5,0.14,0.3,0.15,0,78,94,63,44,33,6,9,"https://www.trulia.com/c/ca/los-angeles/studio-995-843-s-mariposa-ave-los-angeles-ca-90005--1049355021",NA,995,NA,NA,6,37,212305,1002,60372123051002,"Block 1002","G5040","U",51445,"U","S",20191,0,34.0568059,-118.2992522
"336 Salexandria Avenue","Los Angeles","CA","90020","$1,525",NA,"20","Apartment","550","(424) 543-4181","1","1",1,1,166,NA,1133,NA,187,NA,1,7,0,0,1,5,76,17,0,5,681,51,124,141,663,58,466,93,34.067835,-118.297909,9,126283,3.14,12.4,39.1,1.85,69,3.5,2000,0.48,0.16,0.34,0.16,0,75,92,58,38,28,6,8,"https://www.trulia.com/c/ca/los-angeles/336-salexandria-avenue-336-salexandria-ave-los-angeles-ca-90020--2194495020",NA,1525,NA,550,6,37,211910,1000,60372119101000,"Block 1000","G5040","U",51445,"U","S",23937,0,34.068122,-118.2972951
"6112 Eleanor Avenue","Los Angeles","CA","90038","$1,695",NA,"31","Apartment","536","(424) 543-4181","1","1",1,1,184,1,997,NA,NA,NA,1,2,1,3,1,6,69,20,0,5,406,30,208,81,571,241,259,123,34.089803,-118.324953,9,51614,3.14,12.2,40,2,63,3.3,3300,0.47,0.15,0.72,0.15,0,58,64,53,27,23,6,10,"https://www.trulia.com/c/ca/los-angeles/6112-eleanor-avenue-6112-eleanor-ave-los-angeles-ca-90038--1004160621",NA,1695,NA,536,6,37,191810,2008,60371918102008,"Block 2008","G5040","U",51445,"U","S",20230,0,34.0893813,-118.3255293
"5167 West 20th Street","Los Angeles","CA","90016","$1,300",NA,"23","Apartment",NA,"(323) 754-2818","1","1",1,1,215,NA,1201,NA,289,NA,1,2,1,5,1,6,85,14,0,0,102,18,16,21,220,33,107,41,34.040257,-118.353531,9,50377,3.14,12.3,39.1,1.79,59,3.4,4900,0.74,0.083,0.18,0.11,170,69,89,48,11,27,7,10,"https://www.trulia.com/c/ca/los-angeles/1-bed-1-300-5167-w-20th-st-los-angeles-ca-90016--2352241290",NA,1300,NA,NA,6,37,218400,2000,60372184002000,"Block 2000","G5040","U",51445,"U","S",32370,0,34.0408788,-118.3545376
"442 South Cochran Avenue","Los Angeles","CA","90036","$1,375",NA,"23","Apartment","300","(323) 545-6163",NA,NA,1,1,7,NA,91,NA,21,NA,1,7,1,7,1,6,88,3,0,3,192,16,37,74,474,113,219,109,34.065549,-118.347211,9,41416,3.14,12.3,39.6,1.52,65,3.6,2100,0.68,0.098,0.17,0.099,35,33,41,25,9,4,6,11,"https://www.trulia.com/c/ca/los-angeles/cochran-442-s-cochran-ave-los-angeles-ca-90036--2115577600",NA,1375,NA,300,6,37,215102,2003,60372151022003,"Block 2003","G5040","U",51445,"U","S",21430,0,34.0658895,-118.3466915
"11611 Darlington Avenue","Los Angeles","CA","90049","$1,650",NA,"28","Apartment",NA,"(310) 903-8400",NA,NA,1,1,35,2,572,NA,NA,NA,1,5,1,8,1,6,94,2,0,3,227,13,28,47,258,49,238,188,34.054806,-118.463299,9,38132,3.14,11.6,40.6,1.59,60,3.3,2500,0.23,0.054,1.3,0.076,0,32,35,29,6,4,4,13,"https://www.trulia.com/c/ca/los-angeles/11611-darlington-avenue-11611-darlington-ave-los-angeles-ca-90049--1049348892",NA,1650,NA,NA,6,37,264103,1003,60372641031003,"Block 1003","G5040","U",51445,"U","S",19291,0,34.0549886,-118.464087
"2420 Butler Avenue","Los Angeles","CA","90064","$2,095",NA,"21","Apartment",NA,"(310) 839-6329","2","2",1,1,35,2,572,NA,NA,NA,1,5,1,2,1,6,94,3,0,1,247,14,40,45,366,64,200,182,34.033208,-118.440978,9,32034,3.14,11.8,40.1,2.14,62,3.8,8400,0.39,0.053,0.46,0.095,0.093,39,51,28,8,7,4,13,"https://www.trulia.com/c/ca/los-angeles/2-bed-2-095-2420-butler-ave-los-angeles-ca-90064--1002117437",NA,2095,NA,NA,6,37,271200,1014,60372712001014,"Block 1014","G5040","U",51445,"U","S",30463,0,34.0327018,-118.4399961
"212650 S Oak 867 89 West #23","Los Angeles","CA","90007","$1,512 - $1,995",NA,"25","Apartment","530-925","(213) 765-3330","0","0",1,1,72,NA,453,NA,NA,NA,0,0,1,5,0,0,55,18,4,7,233,29,33,39,256,49,63,42,34.02911,-118.283063,9,55164,3.14,12.6,38.2,2.35,62,3.7,7500,0.56,0.11,1.2,0.23,0,80,84,74,28,42,5,7,"https://www.trulia.com/c/ca/los-angeles/2126-50-s-oak-867-89-w-23rd-212650-s-oak-867-89-w-23-los-angeles-ca-90007--2288943692",1995,1512,925,530,6,37,224700,2001,60372247002001,"Block 2001","G5040","U",51445,"U","S",33632,0,34.029554,-118.282152
"7459 Hollywood Boulevard","West Hollywood","CA","90046","$1,395",NA,"24","Multi-Family","340","(323) 761-9695",NA,NA,1,1,180,1,983,NA,NA,NA,1,8,1,3,2,6,88,6,0,4,245,28,136,53,428,148,375,163,34.101653,-118.352281,9,45044,3.14,12.1,40.5,1.99,63,3.5,2700,0.47,0.11,0.69,0.11,0.0059,32,30,35,13,6,2,13,"https://www.trulia.com/c/ca/los-angeles/7459-hollywood-boulevard-7459-hollywood-blvd-los-angeles-ca-90046--1004152083",NA,1395,NA,340,6,37,189905,1001,60371899051001,"Block 1001","G5040","U",51445,"U","S",18237,0,34.1025517,-118.3523603
"2270 South Barrington Avenue","Los Angeles","CA","90064","$1,895",NA,"23","Apartment","680","(877) 736-8776","1","1",1,1,35,2,572,NA,NA,NA,1,5,1,2,1,6,94,3,0,1,250,14,39,50,291,73,167,177,34.032435,-118.446288,9,35425,3.14,11.7,40.1,2.06,62,3.7,7000,0.36,0.052,0.58,0.093,0,42,53,31,9,9,5,12,"https://www.trulia.com/c/ca/los-angeles/1-bed-1-0-bath-680-sqft-1-895-2270-s-barrington-ave-los-angeles-ca-90064--2115681541",NA,1895,NA,680,6,37,267600,2016,60372676002016,"Block 2016","G5040","U",51445,"U","S",5602,0,34.0326273,-118.4458911
"12317 Texas Avenue","Los Angeles","CA","90025","$2,795 - $2,895",NA,"27","Apartment","800","(818) 322-0954","2","2",2,2,35,2,572,NA,NA,NA,1,2,1,5,1,6,86,7,2,2,216,17,37,53,314,59,253,221,34.041084,-118.468161,9,47537,3.14,11.6,40.5,1.7,61,3.4,2000,0.25,0.051,1.4,0.08,0,33,40,26,8,6,6,12,"https://www.trulia.com/c/ca/los-angeles/12317-texas-ave-12317-texas-ave-los-angeles-ca-90025--1012242085",2895,2795,NA,800,6,37,267402,2006,60372674022006,"Block 2006","G5040","U",51445,"U","S",29211,0,34.0414107,-118.4688619
"11251133 1137 W 36th Place","Los Angeles","CA","90007","$1,133",NA,"25","Apartment","445","(213) 765-3330",NA,NA,1,1,72,NA,453,NA,NA,NA,0,0,1,5,0,0,55,18,4,7,233,29,33,39,256,49,63,42,34.022125,-118.292814,9,64727,3.14,12.6,38.1,1.82,57,3.3,4300,0.58,0.096,0.68,0.18,0,80,86,72,24,41,6,6,"https://www.trulia.com/c/ca/los-angeles/trojan-village-11251133-1137-w-36th-pl-los-angeles-ca-90007--2288943715",NA,1133,NA,445,6,37,222600,1005,60372226001005,"Block 1005","G5040","U",51445,"U","S",24071,0,34.0225924,-118.2926743
"2621 Magnolia Avenue","Los Angeles","CA","90007","$1,250 - $1,435",NA,"25","Apartment","380-475","(213) 765-3330","Studio","1",1,1,63,NA,296,NA,NA,NA,1,4,1,5,0,0,55,18,4,7,249,33,28,41,216,36,81,41,34.032041,-118.286494,9,62986,3.14,12.5,38.2,2.28,62,3.6,7000,0.57,0.11,0.82,0.19,0,81,86,73,30,43,5,7,"https://www.trulia.com/c/ca/los-angeles/college-corner-apartments-i-2621-magnolia-ave-los-angeles-ca-90007--1004239763",1435,1250,475,380,6,37,221820,1000,60372218201000,"Block 1000","G5040","U",51445,"U","S",25101,0,34.0315283,-118.2869329
"542 North Alexandria Avenue","Los Angeles","CA","90004","$1,300 - $1,350",NA,"29","Apartment","375-395","(323) 957-2255",NA,NA,1,1,166,NA,1133,NA,187,NA,1,3,1,5,1,5,77,19,0,1,354,64,61,53,436,61,254,54,34.080335,-118.298028,9,105211,3.14,12.4,39.4,2.1,64,3.3,3800,0.53,0.18,0.54,0.19,0.00017,74,88,59,33,32,7,8,"https://www.trulia.com/c/ca/los-angeles/542-n-alexandria-542-n-alexandria-ave-los-angeles-ca-90004--1015328024",1350,1300,395,375,6,37,192610,3001,60371926103001,"Block 3001","G5040","U",51445,"U","S",32113,0,34.0801365,-118.2973457
"1059 South Manhattan Place","Los Angeles","CA","90019","$1,275 - $1,795",NA,"28","Apartment","350-750","(310) 912-7808","Studio","1",1,1,215,NA,1201,NA,289,NA,1,5,1,5,1,4,83,15,0,0,569,41,92,96,526,58,368,71,34.050996,-118.310156,9,87317,3.14,12.4,38.9,1.73,64,3.3,2000,0.56,0.12,0.21,0.13,2,77,93,61,39,33,6,10,"https://www.trulia.com/c/ca/los-angeles/1059-s-manhattan-place-1059-s-manhattan-pl-los-angeles-ca-90019--1002112612",1795,1275,750,350,6,37,213100,1004,60372131001004,"Block 1004","G5040","U",51445,"U","S",18978,0,34.0517289,-118.3106328
"1401 Mitchell Place","Los Angeles","CA","90033","",NA,"28","Apartment","400","(818) 497-7266",NA,NA,1,1,110,NA,630,NA,94,NA,0,0,1,6,2,4,73,17,0,7,182,33,22,25,187,41,49,29,34.054395,-118.219301,9,38617,3.14,12.4,38.2,2.97,69,4.1,5500,0.56,0.14,5,0.96,2.6,76,93,68,30,49,7,8,"https://www.trulia.com/c/ca/los-angeles/1401-mitchell-pl-los-angeles-ca-90033-1401-mitchell-pl-los-angeles-ca-90033--2077321991",NA,NA,NA,400,6,37,203500,2033,60372035002033,"Block 2033","G5040","U",51445,"U","S",119711,0,34.0541145,-118.216628
"1930 Whitley Avenue","Los Angeles","CA","90068","$1,295",NA,"21","Apartment",NA,"(323) 243-0237",NA,NA,1,1,73,NA,558,NA,95,NA,1,2,1,3,1,7,91,4,0,3,344,19,236,73,386,225,259,110,34.106165,-118.333358,9,42300,3.14,12.1,40.5,2.11,63,3.4,3600,0.44,0.14,1.1,0.13,0.0091,40,38,41,14,9,2,10,"https://www.trulia.com/c/ca/los-angeles/studio-1-295-1930-whitley-ave-los-angeles-ca-90068--1010672391",NA,1295,NA,NA,6,37,189600,1024,60371896001024,"Block 1024","G5040","U",51445,"U","S",28765,0,34.1056955,-118.3346649
"123 S Gless Street","Los Angeles","CA","90033","$1,600",NA,"29","Apartment",NA,"(323) 306-4647","1","1",1,1,395,2,1760,NA,NA,NA,0,0,0,0,2,4,73,17,0,7,266,30,59,50,374,75,73,45,34.046678,-118.222994,9,38854,3.14,12.5,38,3.14,71,4.4,5300,0.52,0.14,6.5,1.3,2.6,73,90,63,28,45,7,8,"https://www.trulia.com/c/ca/los-angeles/1-bed-1-600-123-s-gless-st-los-angeles-ca-90033--2115563535",NA,1600,NA,NA,6,37,206032,1000,60372060321000,"Block 1000","G5040","U",51445,"U","S",28069,0,34.0463135,-118.2235778
"5255 1/2 Via Campo Street","Los Angeles","CA","90022","$1,300",NA,"20","Apartment",NA,"(626) 441-3141","1","1",1,1,32,2,173,NA,NA,NA,1,8,1,4,1,6,83,11,0,4,142,8,8,16,156,7,103,22,34.032511,-118.151287,9,42717,3.14,12.5,37.8,1.92,58,3,3900,0.74,0.29,3.3,0.25,0.00024,76,98,54,20,41,6,12,"https://www.trulia.com/c/ca/los-angeles/5255-1-2-via-campo-st-los-angeles-ca-90022-5255-1-2-via-campo-st-los-angeles-ca-90022--2352357703",NA,1300,NA,NA,6,37,530301,1012,60375303011012,"Block 1012","G5040","U",51445,"U","S",17090,0,34.0325291,-118.1514845
"1416 West Olympic Boulevard","Los Angeles","CA","90015","$1,250",NA,"50","Apartment","589","(844) 684-5315",NA,NA,1,1,224,NA,889,NA,NA,NA,1,4,0,0,1,5,53,38,2,8,671,44,176,133,1749,174,256,113,34.048033,-118.271695,9,90543,3.14,12.5,38.5,2.31,73,4,4200,0.52,0.14,1.3,0.23,0.04,83,92,74,42,48,6,9,"https://www.trulia.com/c/ca/los-angeles/1416-w-olympic-boulevard-1416-w-olympic-blvd-los-angeles-ca-90015--1002440037",NA,1250,NA,589,6,37,210010,1003,60372100101003,"Block 1003","G5040","U",51445,"U","S",6742,0,34.0479016,-118.2718953
"317 San Pascual Avenue","Los Angeles","CA","90042","$1,745",NA,"35","Apartment","700","(626) 293-8849","2","2",1,1,16,NA,166,NA,14,NA,1,5,2,6,1,7,89,9,0,1,62,13,14,14,98,8,49,31,34.11544,-118.176279,9,30586,3.14,11.8,40.2,1.52,53,2.5,1600,0.59,0.19,0.67,0.15,0.0029,58,80,36,12,24,7,12,"https://www.trulia.com/c/ca/los-angeles/317-san-pascual-avenue-317-san-pascual-ave-los-angeles-ca-90042--1004228896",NA,1745,NA,700,6,37,183104,1021,60371831041021,"Block 1021","G5040","U",51445,"U","S",137107,0,34.1170187,-118.1758187
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.038549,-118.318914,9,63202,3.14,12.4,38.7,1.78,58,3.1,3500,0.67,0.1,0.21,0.12,10,78,94,61,23,34,6,11,"https://www.trulia.com/c/ca/los-angeles/2015-2nd-avenue-2015-2nd-ave-los-angeles-ca-90018--1020059072",NA,NA,NA,NA,6,37,218800,1001,60372188001001,"Block 1001","G5040","U",51445,"U","S",23264,0,34.0389504,-118.3194762
"668 Sunnyhill Drive","Los Angeles","CA","90065","$4,750",NA,"47","Apartment","1590","(310) 993-8206","3","3",2,2,7,NA,43,NA,6,NA,1,9,2,6,1,7,85,11,0,1,74,14,15,16,98,9,58,27,34.106481,-118.21089,9,32419,3.14,11.9,39.9,1.59,54,2.5,1300,0.62,0.23,0.69,0.24,0.17,64,81,48,17,29,6,12,"https://www.trulia.com/c/ca/los-angeles/668-sunnyhill-drive-668-sunnyhill-dr-los-angeles-ca-90065--1059125282",NA,4750,NA,1590,6,37,185100,3004,60371851003004,"Block 3004","G5040","U",51445,"U","S",29975,0,34.1060643,-118.2106453
"312 West 5th Street","Los Angeles","CA","90013","$1,295 - $4,900",NA,"43","Apartment","475-1,930","(213) 891-1954","Studio","1",1,1,387,2,1749,NA,NA,NA,0,0,0,0,1,5,55,20,1,17,1026,60,296,233,3662,295,319,157,34.048222,-118.250999,9,45917,3.14,12.5,38.2,2.79,89,5.2,4900,0.48,0.14,3.6,0.6,0.77,65,73,56,19,21,4,12,"https://www.trulia.com/c/ca/los-angeles/312-w-5th-street-312-w-5th-st-los-angeles-ca-90013--1013472788",4900,1295,1930,475,6,37,207301,2008,60372073012008,"Block 2008","G5040","U",51445,"U","S",12866,0,34.0475419,-118.2516395
"817 South Saint Andrews Place","Los Angeles","CA","90005","$1,345 - $1,625",NA,"44","Apartment","378-616","(424) 543-4181","Studio","1",1,1,166,NA,1133,NA,187,NA,1,4,1,7,1,4,67,26,0,5,606,47,106,117,556,61,417,86,34.057449,-118.311224,9,94473,3.14,12.4,39,1.7,66,3.4,1400,0.49,0.13,0.2,0.14,1.3,74,91,56,38,27,6,10,"https://www.trulia.com/c/ca/los-angeles/817-s-st-andrews-place-817-s-saint-andrews-pl-los-angeles-ca-90005--1002186062",1625,1345,616,378,6,37,212620,1000,60372126201000,"Block 1000","G5040","U",51445,"U","S",22971,0,34.0569432,-118.311675
"6701 Fountain Avenue","Los Angeles","CA","90028","$1,500 - $1,750",NA,"31","Apartment","450-500","(323) 957-2255","Studio","1",1,1,180,1,983,NA,NA,NA,1,2,1,3,1,7,66,16,0,8,450,30,270,92,698,299,360,195,34.094399,-118.336644,9,55553,3.14,12.2,40.3,2.01,64,3.4,3000,0.43,0.13,0.76,0.13,0.0023,42,42,43,18,12,3,11,"https://www.trulia.com/c/ca/los-angeles/6701-fountain-avenue-6701-fountain-ave-los-angeles-ca-90028--1016916466",1750,1500,500,450,6,37,190700,3004,60371907003004,"Block 3004","G5040","U",51445,"U","S",21072,0,34.0952724,-118.3368945
"1415 South Sherbourne Drive","Los Angeles","CA","90035","$2,695",NA,"31","Apartment","1400","(310) 551-0660","2","2",1,1,5,NA,60,NA,34,NA,1,4,1,2,1,6,93,2,0,2,233,17,25,53,450,80,511,127,34.053571,-118.379674,9,46630,3.14,12.2,39.7,1.51,61,3.5,2300,0.63,0.075,0.15,0.095,52,35,40,29,9,9,6,14,"https://www.trulia.com/c/ca/los-angeles/2-bed-1400-sqft-2-695-1415-s-sherbourne-dr-los-angeles-ca-90035--1002040491",NA,2695,NA,1400,6,37,217002,1000,60372170021000,"Block 1000","G5040","U",51445,"U","S",27846,0,34.0527838,-118.3801916
"334 South Hobart Boulevard","Los Angeles","CA","90020","$1,625 - $1,645",NA,"42","Apartment",NA,"(424) 543-4181","1","1",1,1,166,NA,1133,NA,187,NA,1,7,0,0,1,5,76,17,0,5,667,53,133,138,639,62,443,94,34.068007,-118.305338,9,113741,3.14,12.4,39.2,1.78,68,3.4,1800,0.51,0.15,0.27,0.16,0.0051,73,90,56,36,27,6,9,"https://www.trulia.com/c/ca/los-angeles/334-s-hobart-boulevard-334-s-hobart-blvd-los-angeles-ca-90020--1001686984",1645,1625,NA,NA,6,37,211804,2000,60372118042000,"Block 2000","G5040","U",51445,"U","S",23347,0,34.0680868,-118.3047383
"4126 West Adams Boulevard","Los Angeles","CA","90018","$1,495",NA,"36","Apartment","575","(213) 381-1949","1","1",1,1,63,NA,296,NA,NA,NA,0,0,0,0,0,0,82,18,0,0,88,17,9,10,120,13,59,25,34.032555,-118.330452,9,51812,3.14,12.4,38.7,1.72,57,3.2,4100,0.75,0.09,0.2,0.11,30,75,95,54,14,29,7,10,"https://www.trulia.com/c/ca/los-angeles/4126-w-adams-boulevard-4126-w-adams-blvd-los-angeles-ca-90018--1002151571",NA,1495,NA,575,6,37,218702,2003,60372187022003,"Block 2003","G5040","U",51445,"U","S",42081,0,34.032067,-118.3305623
"1417 N Curson Avenue","Los Angeles","CA","90046","$2,175 - $2,450",NA,"48","Apartment","650-700","(310) 295-2660","1","1",1,1,184,1,997,NA,NA,NA,1,8,1,3,1,6,88,6,0,4,305,26,148,72,738,180,506,220,34.096706,-118.355063,9,49557,3.14,12.1,40.5,1.94,64,3.6,2700,0.49,0.11,0.59,0.11,0.0027,31,28,33,12,5,2,13,"https://www.trulia.com/c/ca/los-angeles/1417-n-curson-avenue-1417-n-curson-ave-los-angeles-ca-90046--1004269945",2450,2175,700,650,6,37,189800,1004,60371898001004,"Block 1004","G5040","U",51445,"U","S",20721,0,34.0971487,-118.3555607
"3950 Montclair Street","Los Angeles","CA","90018","$1,495 - $1,550",1954,"34","Apartment",NA,"(310) 999-1650","1","1",1,1,63,NA,296,NA,NA,NA,0,0,0,0,0,0,82,18,0,0,83,15,10,11,118,14,57,25,34.030214,-118.329841,9,47780,3.14,12.4,38.7,1.7,57,3.2,4000,0.75,0.088,0.22,0.12,24,74,95,53,13,28,7,11,"https://www.trulia.com/c/ca/los-angeles/1-bed-1-0-bath-1-600-3950-montclair-st-los-angeles-ca-90018--1003056702",1550,1495,NA,NA,6,37,219300,1001,60372193001001,"Block 1001","G5040","U",51445,"U","S",30712,0,34.0289072,-118.3298366
